reporter_country,worst_outcome,count,total,pct
EC,Death,19,114,16.67
EC,Disability,1,114,0.88
EC,Hospitalization,38,114,33.33
EC,Life-Threatening,7,114,6.14
EC,No Outcome Reported,5,114,4.39
EC,Other Serious,43,114,37.72
EC,Required Intervention,1,114,0.88
EG,Congenital Anomaly,4,1920,0.21
EG,Death,186,1920,9.69
EG,Disability,79,1920,4.11
EG,Hospitalization,547,1920,28.49
EG,Life-Threatening,154,1920,8.02
EG,No Outcome Reported,147,1920,7.66
EG,Other Serious,803,1920,41.82
ES,Congenital Anomaly,20,8279,0.24
ES,Death,1075,8279,12.98
ES,Disability,63,8279,0.76
ES,Hospitalization,2579,8279,31.15
ES,Life-Threatening,797,8279,9.63
ES,No Outcome Reported,304,8279,3.67
ES,Other Serious,3436,8279,41.5
ES,Required Intervention,5,8279,0.06
EU,Congenital Anomaly,506,87852,0.58
EU,Death,9894,87852,11.26
EU,Disability,1136,87852,1.29
EU,Hospitalization,28855,87852,32.85
EU,Life-Threatening,7045,87852,8.02
EU,No Outcome Reported,2387,87852,2.72
EU,Other Serious,38003,87852,43.26
EU,Required Intervention,26,87852,0.03
FI,Congenital Anomaly,4,584,0.68
FI,Death,59,584,10.1
FI,Disability,58,584,9.93
FI,Hospitalization,138,584,23.63
FI,Life-Threatening,47,584,8.05
FI,No Outcome Reported,34,584,5.82
FI,Other Serious,244,584,41.78
FR,Congenital Anomaly,373,24739,1.51
FR,Death,2597,24739,10.5
FR,Disability,288,24739,1.16
FR,Hospitalization,9920,24739,40.1
FR,Life-Threatening,1946,24739,7.87
FR,No Outcome Reported,999,24739,4.04
FR,Other Serious,8614,24739,34.82
FR,Required Intervention,2,24739,0.01
GB,Congenital Anomaly,167,56947,0.29
GB,Death,4225,56947,7.42
GB,Disability,3240,56947,5.69
GB,Hospitalization,11458,56947,20.12
GB,Life-Threatening,3464,56947,6.08
GB,No Outcome Reported,1973,56947,3.46
GB,Other Serious,32415,56947,56.92
GB,Required Intervention,5,56947,0.01
GR,Congenital Anomaly,1,1521,0.07
GR,Death,162,1521,10.65
GR,Disability,27,1521,1.78
GR,Hospitalization,354,1521,23.27
GR,Life-Threatening,66,1521,4.34
GR,No Outcome Reported,187,1521,12.29
GR,Other Serious,724,1521,47.6
GT,Death,55,199,27.64
GT,Disability,14,199,7.04
GT,Hospitalization,30,199,15.08
GT,Life-Threatening,2,199,1.01
GT,No Outcome Reported,42,199,21.11
GT,Other Serious,56,199,28.14
HK,Death,140,401,34.91
