drugname,total_reports,death_rate_pct,outcome,report_count
DURVALUMAB,2353.0,39.91,Death,939.0
CONTRAVE,2350.0,0.09,Death,2.0
CYCLOPHOSPHAMIDE,2341.0,15.85,Death,371.0
ESTRADIOL,2341.0,0.21,Death,5.0
APIXABAN,2291.0,11.35,Death,260.0
JARDIANCE,2227.0,4.63,Death,103.0
TRASTUZUMAB,2222.0,10.08,Death,224.0
ISOTRETINOIN,2203.0,0.59,Death,13.0
DEPO-PROVERA,2177.0,0.46,Death,10.0
ENHERTU,2176.0,28.86,Death,628.0
IMFINZI,2176.0,34.19,Death,744.0
BENRALIZUMAB,2172.0,16.57,Death,360.0
QUETIAPINE,2140.0,10.75,Death,230.0
IDURSULFASE,2127.0,6.96,Death,148.0
VYEPTI,2122.0,0.85,Death,18.0
VUMERITY,2119.0,3.82,Death,81.0
FENTANYL,2104.0,55.23,Death,1162.0
TECENTRIQ,2103.0,37.33,Death,785.0
NEULASTA,2081.0,1.2,Death,25.0
MAVENCLAD,2062.0,1.36,Death,28.0
ADVATE,2049.0,0.54,Death,11.0
OLAPARIB,2023.0,23.63,Death,478.0
CAPECITABINE,2020.0,13.76,Death,278.0
TOLVAPTAN,2018.0,11.5,Death,232.0
PONATINIB,2014.0,13.46,Death,271.0
ROSUVASTATIN,2013.0,1.79,Death,36.0
EVENITY,2012.0,4.08,Death,82.0
FASENRA,2002.0,7.14,Death,143.0
VENETOCLAX,1977.0,21.24,Death,420.0
ICATIBANT,1974.0,0.61,Death,12.0
TAGRISSO,1968.0,19.16,Death,377.0
ENTYVIO,1964.0,2.19,Death,43.0
FRUQUINTINIB,1961.0,36.82,Death,722.0
CARVYKTI,1932.0,9.11,Death,176.0
VYNDAMAX,1916.0,28.81,Death,552.0
TEZSPIRE,1877.0,3.62,Death,68.0
BUDESONIDE\FORMOTEROL\GLYCOPYRRONIUM,1858.0,63.83,Death,1186.0
XCOPRI,1841.0,1.9,Death,35.0
RISANKIZUMAB,1837.0,0.49,Death,9.0
ADBRY,1826.0,1.48,Death,27.0
ACALABRUTINIB,1816.0,12.44,Death,226.0
CIPROFLOXACIN,1788.0,4.19,Death,75.0
LANADELUMAB,1781.0,2.41,Death,43.0
VENLAFAXINE,1767.0,9.68,Death,171.0
ZOLEDRONIC ACID,1759.0,4.43,Death,78.0
DOXORUBICIN,1755.0,16.18,Death,284.0
OPSUMIT,1746.0,14.09,Death,246.0
BORTEZOMIB,1719.0,13.21,Death,227.0
TREPROSTINIL,1706.0,15.47,Death,264.0
HIZENTRA,1703.0,7.93,Death,135.0
BASAGLAR,1687.0,0.47,Death,8.0
VANCOMYCIN,1687.0,17.49,Death,295.0
YERVOY,1676.0,29.12,Death,488.0
DOCETAXEL,1667.0,13.5,Death,225.0
AMBRISENTAN,1666.0,15.13,Death,252.0
VOLTAREN ARTHRITIS PAIN,1659.0,0.66,Death,11.0
LAMOTRIGINE,1650.0,7.52,Death,124.0
RAMIPRIL,1647.0,1.52,Death,25.0
LEQVIO,1632.0,3.37,Death,55.0
LETROZOLE,1626.0,5.47,Death,89.0
MEPOLIZUMAB,1619.0,7.6,Death,123.0
GLASSIA,1608.0,7.15,Death,115.0
PADCEV,1605.0,19.0,Death,305.0
STRENSIQ,1598.0,1.44,Death,23.0
DICLOFENAC,1596.0,15.23,Death,243.0
VABYSMO,1590.0,10.63,Death,169.0
MIRALAX,1578.0,0.38,Death,6.0
DOXYCYCLINE,1569.0,5.8,Death,91.0
OMEPRAZOLE,1568.0,4.85,Death,76.0
TAVNEOS,1563.0,12.8,Death,200.0
FLUOROURACIL,1554.0,7.79,Death,121.0
PALYNZIQ,1540.0,0.32,Death,5.0
CITALOPRAM,1532.0,50.39,Death,772.0
OXYCODONE HYDROCHLORIDE,1528.0,23.17,Death,354.0
CLOPIDOGREL,1527.0,10.67,Death,163.0
TRAMADOL,1519.0,19.42,Death,295.0
COBENFY,1518.0,1.25,Death,19.0
AIMOVIG,1516.0,5.08,Death,77.0
RUXIENCE,1516.0,6.73,Death,102.0
GEMTESA,1500.0,6.07,Death,91.0
LEQEMBI,1498.0,4.74,Death,71.0
HYRIMOZ,1496.0,4.75,Death,71.0
PANTOPRAZOLE,1494.0,7.97,Death,119.0
AZITHROMYCIN,1491.0,7.65,Death,114.0
CABENUVA,1477.0,1.9,Death,28.0
ENTRESTO,1470.0,8.84,Death,130.0
SYMBICORT,1466.0,1.36,Death,20.0
GEMCITABINE,1465.0,13.24,Death,194.0
FULVESTRANT,1456.0,14.08,Death,205.0
RUXOLITINIB,1452.0,15.36,Death,223.0
KISUNLA,1445.0,2.21,Death,32.0
CAMZYOS,1416.0,2.97,Death,42.0
AMOXICILLIN,1415.0,2.47,Death,35.0
VYALEV,1402.0,7.85,Death,110.0
XARELTO,1396.0,5.87,Death,82.0
IXAZOMIB,1393.0,21.32,Death,297.0
TRUVADA,1388.0,0.5,Death,7.0
ALPRAZOLAM,1387.0,19.83,Death,275.0
VELAGLUCERASE ALFA,1383.0,4.77,Death,66.0
AVASTIN,1383.0,28.2,Death,390.0
CAPLYTA,1381.0,0.94,Death,13.0
TRIKAFTA,1375.0,2.55,Death,35.0
UBLITUXIMAB,1364.0,0.81,Death,11.0
INVEGA SUSTENNA,1358.0,1.25,Death,17.0
AVONEX,1343.0,3.87,Death,52.0
BOTOX COSMETIC,1339.0,0.07,Death,1.0
RYBREVANT,1334.0,7.12,Death,95.0
RILPIVIRINE,1332.0,1.05,Death,14.0
NEXPLANON,1326.0,0.15,Death,2.0
LUMRYZ,1319.0,0.15,Death,2.0
SYNTHROID,1317.0,21.94,Death,289.0
HEMANGEOL,1313.0,0.08,Death,1.0
RISPERIDONE,1313.0,5.86,Death,77.0
FARXIGA,1309.0,18.26,Death,239.0
MIRTAZAPINE,1305.0,10.27,Death,134.0
OMALIZUMAB,1303.0,1.23,Death,16.0
QINLOCK,1302.0,6.37,Death,83.0
LEVOFLOXACIN,1299.0,5.47,Death,71.0
LYNPARZA,1294.0,13.6,Death,176.0
DUPILUMAB,1278.0,2.27,Death,29.0
TAVALISSE,1269.0,6.78,Death,86.0
WINREVAIR,1261.0,3.89,Death,49.0
LANTUS,1259.0,0.64,Death,8.0
LINEZOLID,1257.0,9.86,Death,124.0
TADALAFIL,1251.0,11.99,Death,150.0
TERIPARATIDE,1238.0,3.23,Death,40.0
AJOVY,1238.0,1.45,Death,18.0
EZETIMIBE,1236.0,1.54,Death,19.0
VOQUEZNA,1229.0,2.69,Death,33.0
IMATINIB,1227.0,7.25,Death,89.0
XDEMVY,1200.0,0.75,Death,9.0
XYREM,1191.0,0.42,Death,5.0
DIAZEPAM,1186.0,13.49,Death,160.0
QSYMIA,1182.0,0.25,Death,3.0
NIVOLUMAB,1177.0,14.19,Death,167.0
UPADACITINIB,1177.0,1.44,Death,17.0
BUPRENORPHINE,1174.0,33.65,Death,395.0
TECFIDERA,1163.0,2.06,Death,24.0
FINTEPLA,1162.0,1.98,Death,23.0
PEMETREXED,1158.0,14.16,Death,164.0
RISPERDAL,1151.0,1.91,Death,22.0
ACTEMRA ACTPEN,1150.0,4.87,Death,56.0
ETOPOSIDE,1149.0,22.63,Death,260.0
TEZEPELUMAB,1146.0,13.44,Death,154.0
"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",1140.0,13.6,Death,155.0
ARIKAYCE,1125.0,14.04,Death,158.0
RYBELSUS,1122.0,2.85,Death,32.0
NOVOLOG,1120.0,4.73,Death,53.0
XPHOZAH,1117.0,15.85,Death,177.0
ERLEADA,1113.0,10.87,Death,121.0
LENVATINIB,1111.0,8.91,Death,99.0
BRUKINSA,1101.0,8.9,Death,98.0
AMIODARONE,1095.0,9.86,Death,108.0
ZEPOSIA,1088.0,2.02,Death,22.0
METRONIDAZOLE,1085.0,6.45,Death,70.0
OPZELURA,1079.0,0.09,Death,1.0
FUROSEMIDE,1073.0,7.92,Death,85.0
ZYRTEC,1064.0,0.19,Death,2.0
QUETIAPINE FUMARATE,1063.0,12.23,Death,130.0
RUCONEST,1053.0,0.19,Death,2.0
KEPPRA,1053.0,1.52,Death,16.0
OXYCONTIN,1053.0,24.98,Death,263.0
ESCITALOPRAM,1052.0,7.51,Death,79.0
GUSELKUMAB,1042.0,0.19,Death,2.0
ADEMPAS,1042.0,31.38,Death,327.0
AZACITIDINE,1038.0,33.43,Death,347.0
TOUJEO,1034.0,0.48,Death,5.0
DUPIXENT,125677.0,0.38,Disability,138.0
VEDOLIZUMAB,48278.0,1.29,Disability,160.0
ZEPBOUND,30098.0,0.17,Disability,45.0
MOUNJARO,27901.0,1.0,Disability,286.0
SKYRIZI,19963.0,3.63,Disability,75.0
RINVOQ,15046.0,4.11,Disability,66.0
ORGOVYX,14813.0,2.85,Disability,5.0
OZEMPIC,14766.0,1.32,Disability,210.0
REVLIMID,13432.0,5.59,Disability,11.0
HUMIRA,11402.0,6.37,Disability,85.0
LENALIDOMIDE,10962.0,7.48,Disability,19.0
NUPLAZID,10582.0,19.22,Disability,11.0
BIMZELX,10225.0,0.4,Disability,11.0
GENOTROPIN,10000.0,0.21,Disability,1.0
HUMAN IMMUNOGLOBULIN G,9696.0,6.1,Disability,18.0
POMALYST,8464.0,7.44,Disability,5.0
RITUXIMAB,8373.0,16.31,Disability,39.0
ORENCIA,8264.0,4.5,Disability,23.0
DAPAGLIFLOZIN,8019.0,38.38,Disability,113.0
CIMZIA,7893.0,2.53,Disability,11.0
KEYTRUDA,7675.0,19.4,Disability,53.0
ACETAMINOPHEN,7539.0,23.89,Disability,11.0
ALBUTEROL SULFATE,7409.0,0.2,Disability,1.0
TEDUGLUTIDE,7346.0,6.34,Disability,52.0
METHOTREXATE,7236.0,10.95,Disability,78.0
NEMLUVIO,6946.0,0.71,Disability,3.0
REPATHA,6903.0,2.65,Disability,69.0
ELIQUIS,6716.0,14.55,Disability,48.0
PREDNISONE,6660.0,14.35,Disability,16.0
TYVASO DPI,6498.0,2.91,Disability,3.0
SPRAVATO,6469.0,2.41,Disability,22.0
LANTUS SOLOSTAR,6408.0,0.17,Disability,21.0
